questions,answers
"What is the primary goal of linear regression?","To predict a real-valued quantity by finding a linear function that maps inputs to outputs."
"What are the components of the parameter vector in linear regression?","The weight vector and the bias."
"How is the bias term represented in linear regression?","As a scalar added to the linear combination of weights and features."
"What is the loss function typically used in linear regression?","The squared loss function."
"How is the gradient defined in gradient descent?","As the vector of partial derivatives of the loss function with respect to the parameters."
"What does convexity guarantee in gradient descent?","That all local minima are global minima."
"What does MLE stand for in machine learning?","Maximum Likelihood Estimation."
"What does the term f(x; theta) represent in linear regression?","The predicted value based on input x and parameters theta."
"What is the function of the learning rate in gradient descent?","It controls the step size taken during each iteration of optimization."
"How is the initial guess for parameters chosen in gradient descent?","It is typically initialized to zero or randomly chosen."
"What does overfitting mean in machine learning?","When a model performs well on training data but poorly on unseen data."
"What is one common method to detect overfitting?","Compare training loss with test loss."
"What is the purpose of a development set in machine learning?","To tune hyperparameters like learning rate or model complexity."
"What does a test set evaluate in machine learning?","The model's performance on unseen data."
"How does adding polynomial features affect a linear regression model?","It enables the model to capture non-linear patterns."
"What is the equation for a linear regression model?","f(x) = w * x + b."
"What is the role of the gradient in gradient descent?","It identifies the direction to minimize the loss function."
"What does regularization aim to prevent?","Overfitting."
"What does L2 regularization penalize?","The sum of the squares of the weights."
"What is an indicator feature?","A binary feature representing a specific condition or category."
"What does the sigmoid function output in logistic regression?","A probability value between 0 and 1."
"How does logistic regression classify data points?","By determining which side of the decision boundary they fall on."
"What is the name of the function used for multi-class classification probabilities?","Softmax function."
"What is the loss function used in logistic regression?","The negative log-likelihood."
"What is the purpose of cross-entropy in classification?","To measure how well the predicted probabilities match the true labels."
"What are the two key sources of error in machine learning models?","Bias and variance."
"What is bias in machine learning?","Error due to restrictive assumptions in the model."
"What is variance in machine learning?","Error due to sensitivity to small fluctuations in the training set."
"What is the role of the kernel trick in SVMs?","To enable learning in high-dimensional spaces without explicitly computing them."
"What is the goal of k-means clustering?","To partition data into k clusters where each point belongs to the nearest cluster center."
"What is a hyperplane in SVMs?","The decision boundary separating different classes."
"What does PCA stand for in dimensionality reduction?","Principal Component Analysis."
"What does the term generative classifier mean?","A model that learns the joint probability distribution P(x, y)."
"What does Naive Bayes assume about features?","That they are conditionally independent given the class."
"What is the purpose of Laplace smoothing in Naive Bayes?","To handle zero probabilities by adding a small constant to counts."
"What is a Markov Decision Process (MDP)?","A framework for modeling decision-making where outcomes are partly random and partly under the control of a decision-maker."
"What does Q-learning aim to compute?","The optimal action-value function for reinforcement learning."
"What is the exploration-exploitation tradeoff in reinforcement learning?","The balance between trying new actions and optimizing known actions."
"What is the role of the learning rate in reinforcement learning?","To control how much the Q-values are updated in each step."
"What does state discretization mean in reinforcement learning?","Breaking down the continuous state space into discrete bins for simpler modeling."
"What is the goal of deep Q-learning?","To approximate the Q-function using a deep neural network."
"What is policy gradient used for?","To directly optimize the policy in reinforcement learning."
"What does softmax regression generalize?","Logistic regression to multi-class classification."
"What is the decision boundary in logistic regression?","The hyperplane where w * x + b = 0."
"What is the main difference between generative and discriminative classifiers?","Generative classifiers model P(x, y), while discriminative classifiers model P(y | x)."
"What is a common test to evaluate convexity of a function?","Check if the second derivative is non-negative."
"What is the primary use of PCA in machine learning?","To reduce the dimensionality of data while retaining maximum variance."
"What is a multivariate Gaussian?","A generalization of the Gaussian distribution for multiple variables."
"What is the Expectation-Maximization (EM) algorithm used for?","To find maximum likelihood estimates for models with latent variables."
